date,target_level_max,hermann_level,grafton_level,daily_precip,daily_temp_avg,daily_humidity,daily_wind,soil_deep_30d
2023-08-04,9.29,13.33,15.86,1.9,26.35,82.91666666666667,8.975,0.2544570023148148
2023-08-05,9.35,12.13,15.65,15.5,26.241666666666664,79.08333333333333,14.966666666666669,0.2550897569444444
2023-08-06,9.99,10.11,16.09,18.1,24.65,80.375,8.741666666666667,0.2564973958333333
2023-08-07,9.98,9.89,15.44,2.1,23.316666666666663,75.08333333333333,15.170833333333334,0.2582251736111111
2023-08-08,5.81,11.47,15.56,0.9,23.8,77.66666666666667,6.9750000000000005,0.2600582175925925
2023-08-09,5.84,10.5,15.6,14.4,22.666666666666668,87.25,8.629166666666666,0.2619979166666666
2023-08-10,5.86,8.89,15.66,0.5,24.17083333333333,79.54166666666667,6.175,0.2640976851851852
2023-08-11,4.56,7.58,15.43,0.0,26.9625,76.54166666666667,10.383333333333333,0.2665049189814815
2023-08-12,2.75,7.2,15.75,0.2,27.1875,80.75,11.133333333333333,0.2690454861111111
2023-08-13,2.97,7.36,15.75,6.4,24.3375,81.33333333333333,6.654166666666666,0.271551099537037
2023-08-14,3.44,7.51,15.62,3.1,24.15,75.70833333333333,14.583333333333334,0.2740645254629629
2023-08-15,3.37,10.24,15.67,0.2,20.391666666666666,75.5,12.2625,0.2766074652777778
2023-08-16,4.45,12.5,15.56,0.0,21.78333333333333,70.04166666666667,6.354166666666667,0.2792024305555555
2023-08-17,6.83,11.43,15.71,0.1,23.10833333333333,66.20833333333333,14.229166666666666,0.2817416666666666
2023-08-18,6.74,9.63,15.72,0.0,21.504166666666663,69.125,6.075,0.2841387152777778
2023-08-19,4.9,7.88,16.08,0.0,24.2875,70.70833333333333,13.0375,0.2865151041666666
2023-08-20,4.49,6.56,15.72,0.0,29.2375,74.08333333333333,8.404166666666667,0.2887550347222222
2023-08-21,2.63,5.65,15.74,0.5,29.47083333333333,85.54166666666667,7.154166666666666,0.2909649305555555
2023-08-22,1.36,5.1,15.83,0.5,30.3375,80.16666666666667,6.054166666666667,0.2931939236111111
2023-08-23,0.4,5.52,15.91,0.0,30.441666666666663,73.16666666666667,7.1125,0.2954750578703704
2023-08-24,0.02,5.68,15.65,0.0,30.933333333333334,71.0,9.895833333333334,0.2976875578703704
2023-08-25,-0.48,5.37,15.28,0.4,30.35833333333333,73.29166666666667,7.008333333333333,0.2998036458333333
2023-08-26,-0.82,5.55,15.47,23.1,25.55,84.95833333333333,9.095833333333331,0.3018071180555555
2023-08-27,-0.89,5.15,15.77,6.4,22.891666666666666,80.45833333333333,13.079166666666666,0.3038942708333333
2023-08-28,-0.85,4.25,16.05,0.0,22.6875,65.33333333333333,8.858333333333333,0.3060179976851852
2023-08-29,-0.91,3.92,15.67,0.0,23.325,69.54166666666667,5.245833333333334,0.3080871527777778
2023-08-30,-1.66,3.94,15.14,0.0,22.291666666666668,69.16666666666667,11.7125,0.3101039930555555
2023-08-31,-2.04,4.0,14.62,0.0,19.775,68.45833333333333,7.241666666666667,0.3120534722222222
2023-09-01,-2.51,3.98,14.28,0.0,21.27083333333333,65.0,6.0875,0.3139737268518519
2023-09-02,-2.58,4.09,14.13,0.0,24.3375,70.20833333333333,6.925,0.315737037037037
