Lead Time,Model,RMSE,Bias,Missed Floods,False Alarms
1 Days,Bayesian,1.76,1.56,0,53
1 Days,Ensemble,2.07,1.86,0,56
1 Days,LSTM,1.6,1.15,1,31
1 Days,Persistence,1.19,0.01,7,7
1 Days,XGBoost,1.57,0.86,0,33
2 Days,Bayesian,2.75,2.45,1,75
2 Days,Ensemble,2.96,2.67,0,81
2 Days,LSTM,1.81,1.22,0,31
2 Days,Persistence,2.04,0.01,14,14
2 Days,XGBoost,2.18,1.31,0,44
3 Days,Bayesian,3.38,3.01,0,95
3 Days,Ensemble,3.58,3.23,0,100
3 Days,LSTM,2.46,1.96,0,47
3 Days,Persistence,2.69,0.01,20,20
3 Days,XGBoost,2.49,1.54,0,41
